"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00940128649183572,0.0113805047006432,0.0133597229094508,0.0188025729836714,0.0385947550717467,0.152894606630381,0.367144977733795
"0.05",0.049480455220188,0.05789213260762,0.0663038099950519,0.0895596239485403,0.162790697674419,0.385452746165265,0.692726373082632
"0.1",0.0994557149925779,0.108857001484414,0.12370113805047,0.172191984166254,0.272142503711034,0.577931716971796,0.849084611578427
"0.2",0.199406234537358,0.216724393864424,0.234042553191489,0.308758040573973,0.453240969816922,0.79218208807521,0.956457199406235
"0.3",0.299356754082138,0.322612568035626,0.351311232063335,0.429490351311232,0.614547253834735,0.912419594260267,0.993072736269174
"0.4",0.399307273626917,0.421573478476002,0.456209797130134,0.565561603166749,0.750618505690252,0.971796140524493,0.999010390895596
"0.5",0.499257793171697,0.534388916378031,0.574962889658585,0.687283523008412,0.871350816427511,0.995546759030183,1
"0.6",0.599208312716477,0.634339435922811,0.674418604651163,0.788223651657595,0.947550717466601,1,1
"0.7",0.699158832261257,0.735774369124196,0.778327560613558,0.896091044037605,0.988619495299357,1,1
"0.8",0.799109351806037,0.837704106877783,0.874814448292924,0.96833250865908,1,1,1
"0.9",0.899059871350816,0.932211776348342,0.9737753587333,1,1,1,1
"1",0.999505195447798,1,1,1,1,1,1
