"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00940128649183572,0.0103908955962395,0.0128649183572489,0.0192973775358733,0.0380999505195448,0.116773874319644,0.274616526472044
"0.05",0.049480455220188,0.0564077189510143,0.0643245917862444,0.0885700148441366,0.145472538347353,0.317169717961405,0.599703117268679
"0.1",0.0994557149925779,0.111331024245423,0.121721919841663,0.153884215734785,0.227115289460663,0.47105393369619,0.750618505690252
"0.2",0.199406234537358,0.209302325581395,0.226620484908461,0.283523008411677,0.414151410192974,0.728352300841168,0.927263730826324
"0.3",0.299356754082138,0.322117763483424,0.343889163780307,0.440870856011875,0.595249876298862,0.888174171202375,0.984661058881742
"0.4",0.399307273626917,0.436417615042058,0.465611083621969,0.545769421078674,0.72884710539337,0.958436417615042,0.998515586343394
"0.5",0.499257793171697,0.523998020781791,0.562097971301336,0.667491340920336,0.848589807026225,0.990598713508164,1
"0.6",0.599208312716477,0.637308263236022,0.66303809995052,0.782285997031173,0.937159821870361,0.999505195447798,1
"0.7",0.699158832261257,0.740227610094013,0.772884710539337,0.879267689262741,0.984661058881742,1,1
"0.8",0.799109351806037,0.83424047501237,0.878772884710539,0.967837704106878,1,1,1
"0.9",0.899059871350816,0.939633844631371,0.972290945076695,1,1,1,1
"1",0.999505195447798,1,1,1,1,1,1
