"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00925925925925926,0.012962962962963,0.0166666666666667,0.0253086419753086,0.0462962962962963,0.156172839506173,0.387037037037037
"0.05",0.0493827160493827,0.054320987654321,0.0598765432098765,0.0901234567901235,0.153086419753086,0.382716049382716,0.680246913580247
"0.1",0.0993827160493827,0.112962962962963,0.126543209876543,0.169753086419753,0.27037037037037,0.582716049382716,0.851234567901235
"0.2",0.199382716049383,0.223456790123457,0.241975308641975,0.319753086419753,0.467901234567901,0.812962962962963,0.962345679012346
"0.3",0.299382716049383,0.330246913580247,0.358641975308642,0.438888888888889,0.628395061728395,0.918518518518519,0.991975308641975
"0.4",0.399382716049383,0.424691358024691,0.453703703703704,0.569753086419753,0.766049382716049,0.973456790123457,0.998148148148148
"0.5",0.499382716049383,0.541358024691358,0.574691358024691,0.691358024691358,0.885802469135803,0.995061728395062,0.999382716049383
"0.6",0.599382716049383,0.640123456790124,0.673456790123457,0.796913580246914,0.952469135802469,0.998765432098765,0.999382716049383
"0.7",0.699382716049383,0.74320987654321,0.78641975308642,0.904320987654321,0.992592592592593,0.999382716049383,1
"0.8",0.799382716049383,0.846913580246914,0.885802469135803,0.980864197530864,0.999382716049383,1,1
"0.9",0.899382716049383,0.949382716049383,0.980246913580247,1,1,1,1
"1",0.999382716049383,1,1,1,1,1,1
