"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00940128649183572,0.0138545274616526,0.016328550222662,0.0242454230578921,0.0470064324591786,0.144977733795151,0.326076199901039
"0.05",0.049480455220188,0.0549233052944087,0.0623453735774369,0.0885700148441366,0.142998515586343,0.330034636318654,0.595744680851064
"0.1",0.0994557149925779,0.110341415141019,0.119247897080653,0.160316674913409,0.243938644235527,0.49727857496289,0.760019792182088
"0.2",0.199406234537358,0.219693221177635,0.236021771400297,0.301830776843147,0.4210786739238,0.715982187036121,0.906976744186046
"0.3",0.299356754082138,0.317169717961405,0.337951509153884,0.410687778327561,0.56061355764473,0.849579416130628,0.967342899554676
"0.4",0.399307273626917,0.429985155863434,0.461652647204354,0.549727857496289,0.699158832261257,0.939633844631371,0.996536368134587
"0.5",0.499257793171697,0.52894606630381,0.559129143988125,0.650173181593271,0.826818406729342,0.983176645225136,0.999010390895596
"0.6",0.599208312716477,0.627412172191984,0.659574468085106,0.763978228599703,0.919841662543295,0.997525977238991,1
"0.7",0.699158832261257,0.729341909945571,0.770905492330529,0.879762493814943,0.978228599703117,1,1
"0.8",0.799109351806037,0.8421573478476,0.87629886194953,0.962394854032657,0.998515586343394,1,1
"0.9",0.899059871350816,0.933696190004948,0.967837704106878,0.999010390895596,1,1,1
"1",0.999505195447798,1,1,1,1,1,1
