"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00940128649183572,0.0108857001484414,0.0133597229094508,0.0217714002968827,0.0440376051459673,0.142998515586343,0.335972290945077
"0.05",0.049480455220188,0.0598713508164275,0.0643245917862444,0.0925284512617516,0.146462147451757,0.342899554675903,0.622464126669965
"0.1",0.0994557149925779,0.108857001484414,0.115289460663038,0.153389411182583,0.246412666996536,0.507669470559129,0.769421078673924
"0.2",0.199406234537358,0.220682830282039,0.240475012370114,0.313706086095992,0.440376051459673,0.74220682830282,0.922810489856507
"0.3",0.299356754082138,0.320138545274617,0.342404750123701,0.427016328550223,0.575952498762989,0.864423552696685,0.971796140524493
"0.4",0.399307273626917,0.425037110341415,0.454725383473528,0.537852548243444,0.706086095992083,0.940128649183573,0.997525977238991
"0.5",0.499257793171697,0.525482434438397,0.55517070757051,0.658584858980703,0.822859970311727,0.983671449777338,0.999505195447798
"0.6",0.599208312716477,0.629391390400792,0.658584858980703,0.766947055912914,0.914893617021277,1,1
"0.7",0.699158832261257,0.735279564571994,0.769421078673924,0.870361207323107,0.98169223156853,1,1
"0.8",0.799109351806037,0.832261256803563,0.867887184562098,0.963879267689263,1,1,1
"0.9",0.899059871350816,0.938644235526967,0.965363681345868,1,1,1,1
"1",0.999505195447798,1,1,1,1,1,1
