"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00949464012251149,0.0119448698315467,0.0140888208269525,0.022052067381317,0.042572741194487,0.12802450229709,0.28728943338438
"0.05",0.0496171516079632,0.0554364471669219,0.0624808575803982,0.0894333843797856,0.144869831546708,0.325267993874426,0.561715160796325
"0.1",0.0995405819295559,0.111485451761103,0.122511485451761,0.16416539050536,0.24594180704441,0.467687595712098,0.715467075038285
"0.2",0.199693721286371,0.214395099540582,0.231240428790199,0.289433384379786,0.4,0.663399693721286,0.854823889739663
"0.3",0.299540581929556,0.32312404287902,0.341194486983155,0.410719754977029,0.545482388973966,0.809494640122511,0.939663093415008
"0.4",0.399693721286371,0.426339969372129,0.453598774885145,0.532924961715161,0.661868300153139,0.901378254211332,0.98468606431853
"0.5",0.499540581929556,0.524655436447167,0.546401225114855,0.629096477794793,0.779785604900459,0.959877488514548,0.996630934150077
"0.6",0.599693721286371,0.627871362940276,0.652067381316998,0.738744257274119,0.882695252679939,0.992343032159265,0.999693721286371
"0.7",0.699540581929556,0.730168453292496,0.763246554364472,0.866156202143951,0.96937212863706,0.999693721286371,1
"0.8",0.799693721286371,0.833078101071976,0.86646248085758,0.955283307810107,0.998162327718224,1,1
"0.9",0.899540581929556,0.931087289433384,0.960183767228178,0.999081163859112,1,1,1
"1",0.999693721286371,1,1,1,1,1,1
